isbn13,title,publisher,pubdate,price
9787121317989,深入理解ES6,电子工业出版社,2017-7-1,CNY 99.00
9787111565635,深入浅出React和Redux,机械工业出版社,2017-4-28,69
9787111360216,嵌入式系统导论,机械工业出版社,2011-12,55.00元
9787115172013,C和指针,人民邮电出版社,2008 年4月,65.00元
9787111377207,计算机网络,机械工业出版社,2012-4-1,139.00元
9787121287381,锁相环技术原理及FPGA实现,电子工业出版社,2016-6-1,68
9787030171825,测量电子电路设计,科学出版社,2006-6,38.00元
9787111105763,具体数学（英文版第2版）,机械工业出版社,2002-8,49.00元
9787121185106,操作系统,电子工业出版社,2012-9,75.00元
9787111304265,操作系统,机械工业出版社,2010.9,69.00元
9787111196266,C程序设计语言,机械工业出版社,2006-8-1,35.00元
9787111129431,C程序设计语言,机械工业出版社,2004-1-1,15.00元
9787121252297,C++ Primer习题集（第5版）,电子工业出版社,2015-3-1,CNY 89.00
9787121200380,C++ Primer 英文版（第 5 版）,电子工业出版社,2013-5,128.00元
9787115373991,Flask Web开发：基于Python的Web应用开发实战,人民邮电出版社,2014-12,59.00元
9787115338013,Haskell函数式编程入门,人民邮电出版社,2014-3-5,59.00元
9787564124151,jQuery参考手册,,2010-10,58.00元
9787512416673,Qt 5 编程入门,北京航空航天大学出版社,2015-1-30,54
9787111510727,Docker源码分析,机械工业出版社,2015-8-1,59.00
9787111534136,自己动手写Java虚拟机,机械工业出版社,2016-6-1,69.00元
9787115403254,Qt 5开发实战,人民邮电出版社,2015-11,99.00元
9787115227430,深入Linux内核架构,人民邮电出版社,201005,149.00元
9787115355171,Android开发秘籍 第2版,人民邮电出版社,2014-7,59.00
9787111524878,C++ 程序设计语言（第 4 部分：标准库）（英文版・第 4 版）,机械工业出版社,2016-1,89.00
9787111523864,C++ 程序设计语言（第 1 ~ 3 部分）（英文版・第 4 版）,机械工业出版社,2016-1,169.00
9787564145989,Python Cookbook,东南大学出版社,2014-1-1,CNY 98.00
9787111473947,Python编程实战,机械工业出版社,2014-8,69.00元
9787564153854,高性能Python,东南大学出版社,2015-2,
9787121170935,构建高性能Web站点,电子工业出版社,2012-6,75.00元
9787302269151,计算机视觉,清华大学出版社,2012-1,109.00元
9787111504825,计算机组成与设计（原书第5版）,机械工业出版社,2015-7-1,99.00元
9787564145972,学习Python(第5版)(影印版),东南大学出版社,2014-1,CNY 148.00
9787564145972,学习Python(第5版)(影印版),东南大学出版社,2014-1,CNY 148.00
9787111075752,设计模式,机械工业出版社,2000-9,35.00元
9787111407010,算法导论（原书第3版）,机械工业出版社,2012-12,128.00元
9787302435273,Visual C#从入门到精通(第8版),清华大学出版社,2016-6-1,
9787115206145,线性代数应该这样学,人民邮电出版社,2009,39.00元
9787115186935,陶哲轩实分析,人民邮电出版社,2008年,69.00元
9787111481133,OpenGL编程指南(原书第8版),机械工业出版社,2014-10-1,129
9787040209280,操作系统概念,高等教育,2007-3,72.00元
9787115297655,计算机体系结构,人民邮电出版社,2012-12,109.00元
9787111326748,编译原理,机械工业出版社,2011-1,78.00元
9787121022982,代码大全（第2版）,电子工业出版社,2006-3,128.00元
9787302387404,Java 8编程参考官方教程,清华大学出版社,2015-1-1,139.00
9787115348630,R语言统计入门(第2版),人民邮电出版社,2014-5-9,
9787040322934,吉米多维奇数学分析习题集学习指引（第3册）,高等教育出版社,2011-7,39.00元
9787040323566,吉米多维奇数学分析习题集学习指引（第2册）,高等教育出版社,2011-4,39.00元
9787040295313,吉米多维奇数学分析习题集学习指引（第1册）,高等教育出版社,2010-6,39.00元
9787115380333,Node与Express开发,人民邮电出版社,2015-1,69.00元
9787302171447,模拟和数字电子电路基础,清华大学出版社,2008-7-1,69.00元
9787115293800,算法（第4版）,人民邮电出版社,2012-10-1,99.00元
9787030171610,测量电子电路设计,科学出版社,2006-6,26.00元
9787121129827,一站式学习C编程,电子工业出版社,2011-3,59.00元
9787030096579,面向计算机科学的数理逻辑,科学出版社,2002-1,24.00元
9787115299222,响应式Web设计,人民邮电出版社,2013-1-1,49.00元
9787115354730,超炫的35个Arduino制作项目,人民邮电出版社,2014-6-1,42.00
9781107024946,Networked Life,Cambridge University Press,2012-9-30,USD 45.00
9787030134448,振荡电路的设计与应用,科学出版社发行部,2004-9,30.00元
9787560956510,锁相技术,,2009-9,19.50元
9787547809761,锁相环集成电路原理与应用,,2012-2,48.00元
9787030165282,锁相环,科学出版社,2006-1,33.00元
9787302264170,网络、群体与市场,清华大学出版社,2011-10-1,CNY 69.00
9787300172620,策略思维,中国人民大学出版社,2013-4,42.00元
9787111375296,数据库系统概念,机械工业出版社,2012-3,99.00元
9787560623177,频率合成技术,,2009-9,16.00元
9787121123146,现代控制工程,电子工业出版社,2011-8-1,85.00元
9787115424457,机器人爱好者（第1辑）,人民邮电出版社,,59
9787121221934,Verilog HDL高级数字设计（第二版）,电子工业出版社,2014-2-1,95.00元
9787111440758,嵌入式计算系统设计原理（原书第3版）,机械工业出版社,2014-1,69.00
9787121078934,新概念51单片机C语言教程,电子工业出版社,2009-1,69.00元
9787506272896,电动力学导论,世界图书出版公司,2006年01月,39.00元
